main_key,dayofweek,origin_period,origin,origin_name,duration,arrival_time,destination,destination_name,load_factor,minimal_n_departures,maximal_load_factor,Rata-Rata penumpang,tomorrow?
BBT-BBT,Thursday,2023-12-02 17:00:00,BBT,BANDUNG BUAH BATU,0 days 00:00:00,2023-12-02 17:00:00,BBT,BANDUNG BUAH BATU,70.0,1.0,70.0,7.0,0 days
BBT-BDRSTTA,Friday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,58.92857142857143,1.0,58.92857142857143,5.0,0 days
BBT-BDRSTTA,Friday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,51.5625,1.0,51.5625,4.0,0 days
BBT-BDRSTTA,Friday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,61.206896551724135,1.0,61.206896551724135,5.0,0 days
BBT-BDRSTTA,Monday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,71.47435897435898,1.0,71.47435897435898,6.0,0 days
BBT-BDRSTTA,Monday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,73.21428571428571,1.0,73.21428571428571,6.0,0 days
BBT-BDRSTTA,Monday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,77.91666666666667,1.0,77.91666666666667,6.0,0 days
BBT-BDRSTTA,Monday,2023-12-02 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 17:30:00,BDRSTTA,BANDARA SOETTA,62.5,1.0,62.5,5.0,0 days
BBT-BDRSTTA,Saturday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,51.25,1.0,51.25,4.0,0 days
BBT-BDRSTTA,Saturday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,55.357142857142854,1.0,55.357142857142854,4.0,0 days
BBT-BDRSTTA,Saturday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,69.23076923076923,1.0,69.23076923076923,6.0,0 days
BBT-BDRSTTA,Saturday,2023-12-02 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 17:30:00,BDRSTTA,BANDARA SOETTA,37.5,1.0,37.5,3.0,0 days
BBT-BDRSTTA,Saturday,2023-12-02 16:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 20:30:00,BDRSTTA,BANDARA SOETTA,12.5,1.0,12.5,1.0,0 days
BBT-BDRSTTA,Sunday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,63.92857142857143,1.0,63.92857142857143,5.0,0 days
BBT-BDRSTTA,Sunday,2023-12-02 06:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 10:30:00,BDRSTTA,BANDARA SOETTA,37.5,1.0,37.5,3.0,0 days
BBT-BDRSTTA,Sunday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,73.4375,1.0,73.4375,6.0,0 days
BBT-BDRSTTA,Sunday,2023-12-02 08:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 12:30:00,BDRSTTA,BANDARA SOETTA,37.5,1.0,37.5,3.0,0 days
BBT-BDRSTTA,Sunday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,87.16216216216216,1.0,87.16216216216216,7.0,0 days
BBT-BDRSTTA,Sunday,2023-12-02 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 17:30:00,BDRSTTA,BANDARA SOETTA,37.5,1.0,37.5,3.0,0 days
BBT-BDRSTTA,Sunday,2023-12-02 16:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 20:30:00,BDRSTTA,BANDARA SOETTA,37.5,1.0,37.5,3.0,0 days
BBT-BDRSTTA,Sunday,2023-12-02 21:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 01:30:00,BDRSTTA,BANDARA SOETTA,75.0,1.0,75.0,6.0,1 days
BBT-BDRSTTA,Thursday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,47.5,1.0,47.5,4.0,0 days
BBT-BDRSTTA,Thursday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,55.833333333333336,1.0,55.833333333333336,4.0,0 days
BBT-BDRSTTA,Thursday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,53.90625,1.0,53.90625,4.0,0 days
BBT-BDRSTTA,Thursday,2023-12-02 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 17:30:00,BDRSTTA,BANDARA SOETTA,25.0,1.0,25.0,2.0,0 days
BBT-BDRSTTA,Thursday,2023-12-02 16:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 20:30:00,BDRSTTA,BANDARA SOETTA,68.75,1.0,68.75,6.0,0 days
BBT-BDRSTTA,Tuesday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,58.62068965517241,1.0,58.62068965517241,5.0,0 days
BBT-BDRSTTA,Tuesday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,37.5,1.0,37.5,3.0,0 days
BBT-BDRSTTA,Tuesday,2023-12-02 09:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 13:30:00,BDRSTTA,BANDARA SOETTA,25.0,1.0,25.0,2.0,0 days
BBT-BDRSTTA,Tuesday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,64.33823529411765,1.0,64.33823529411765,5.0,0 days
BBT-BDRSTTA,Tuesday,2023-12-02 16:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 20:30:00,BDRSTTA,BANDARA SOETTA,25.0,1.0,25.0,2.0,0 days
BBT-BDRSTTA,Wednesday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,52.604166666666664,1.0,52.604166666666664,4.0,0 days
BBT-BDRSTTA,Wednesday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,61.76470588235294,1.0,61.76470588235294,5.0,0 days
BBT-BDRSTTA,Wednesday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,64.01515151515152,1.0,64.01515151515152,5.0,0 days
